Hugo_Symbol	PHLC110	PHLC111	PHLC119	PHLC12	PHLC132	PHLC137	PHLC148	PHLC164	PHLC169	PHLC181	PHLC188	PHLC189	PHLC191	PHLC192	PHLC196	PHLC200	PHLC215	PHLC228	PHLC229	PHLC235	PHLC267	PHLC274	PHLC299	PHLC321	PHLC402	PHLC410	PHLC470	PHLC655	PHLC77	PHLC82
SCN11A	-1	-1	-1	1	-1	-1	1	0	0	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1
POU6F2	0	1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	-1	0	1	1	1	1	1	1	1	1	0	-1	0	0	1
MGAT4B	-1	-1	0	0	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	1
CYP4F8	1	-1	-1	-1	-1	-1	-1	1	1	0	0	1	-1	-1	0	-1	-1	1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	0	0
PNKP	1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	-1	1	1	-1	1	-1	-1	1	0	1	-1	-1	1	0	-1	1	0
B4GALT7	-1	-1	0	0	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	1
SLCO2B1	1	-1	0	1	-1	1	1	0	1	0	-1	0	-1	1	1	0	0	-1	-2	1	-1	0	1	1	2	1	-1	-1	1	-1
VPS45	1	2	2	1	0	0	-1	1	-1	2	-1	1	1	1	1	1	-1	1	1	1	1	0	0	1	1	0	0	1	-1	1
LYPLA2	-1	0	0	-1	1	0	1	0	-1	0	0	1	-1	1	-1	-1	1	-1	1	-1	-1	0	-1	-1	-1	-1	0	1	-1	1
CD300A	1	1	0	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	0	0	1	-1	1	1	-1	0	-1	1	-1	-1	0	0	1
PARK7	-1	1	0	-1	1	0	1	-1	-1	0	0	1	-1	1	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-1	0	1	-1	1
COPE	1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1	-1	-1	-1	2	1	1	0	0	-1	-1	-1	-1	-1	-1	0	0
RBPJL	1	1	-1	-1	1	0	-1	1	0	1	-1	1	1	1	1	1	1	1	1	-1	1	0	1	1	0	1	0	0	1	0
GPR182	-1	0	1	-1	1	2	1	1	-1	1	0	1	0	-1	1	1	1	1	0	-1	1	0	-1	1	-1	-1	-1	0	1	-1
ECD	-1	-1	0	1	0	-1	0	0	1	0	-1	1	0	-1	-1	1	-1	0	0	-1	-1	0	0	1	-1	0	-1	1	-1	1
MGAT4A	1	0	1	1	1	1	-1	-1	1	0	1	0	1	1	1	0	0	1	0	-1	1	0	0	-1	0	1	-1	0	-1	1
GPN1	1	0	-1	1	1	1	-1	0	0	0	-1	0	-1	-1	1	1	0	1	0	-1	1	0	0	1	0	-1	-1	0	1	1
TMC6	0	1	1	0	-1	1	0	1	0	1	-1	1	-1	-1	0	1	1	1	0	1	0	-1	1	0	1	-1	-1	0	1	1
DDX42	1	1	1	-1	-1	1	1	1	0	1	1	1	-1	1	-1	0	0	1	-1	1	1	0	0	-1	1	-1	-1	0	0	1
FKBP9	0	1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	0	-1	0	0	1
STK38	-1	-1	1	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	-1	-1	1	0	0	0	1	-1	0	0	-1	-1	1
CTRC	-1	0	1	-1	1	0	1	0	-1	0	0	1	-1	1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	1	-1	1
PHB2	-1	-1	-1	-1	1	1	0	1	-1	1	0	1	1	-1	1	1	1	1	0	-1	1	-1	1	1	2	1	0	1	1	-1
ACOT7	-1	1	0	-1	1	0	1	-1	-1	0	0	1	-1	1	1	-1	1	-1	-1	-1	1	0	-1	1	-1	-1	0	1	-1	1
PDAP1	0	1	-1	1	1	-1	1	1	1	0	1	1	1	1	1	1	1	-1	0	-1	0	0	1	1	0	1	0	0	0	1
TUSC2	0	-1	-1	1	-1	-1	1	0	0	-1	-1	0	-1	-2	-1	-1	-1	-1	-1	1	-1	-1	-1	-2	-2	-1	-1	-1	0	-1
CBX3	0	1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	0	1
EXOC3	-1	-1	1	1	1	1	1	1	1	1	2	-1	1	1	1	-1	1	-1	1	1	1	0	1	1	1	1	1	2	-1	1
GABARAP	-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	1	1	-1	-1	1	0	0	-1	-1	1	0	-1	0	-1	1	-1	-1	0	0
